school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;
GP;F;16;U;GT3;T;4;3;other;at_home;course;mother;1;3;0;yes;yes;no;no;yes;yes;yes;no;5;3;5;1;1;3;2;12;13;13;0,949124888
MS;F;18;R;LE3;A;4;2;teacher;other;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;3;1;1;1;5;0;5;0;0;0,613333477
MS;F;18;U;GT3;T;1;2;other;other;course;father;1;2;1;no;yes;no;yes;yes;yes;yes;yes;3;4;4;2;3;5;9;9;8;8;0,204912204
GP;M;18;U;LE3;A;4;4;teacher;teacher;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;3;1;1;2;0;17;17;17;0,445437327
MS;M;15;R;LE3;T;4;1;health;services;reputation;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;4;1;2;2;7;7;9;8;0,717026385
MS;F;16;R;GT3;T;1;2;other;other;home;father;1;3;0;yes;yes;no;no;no;yes;yes;yes;4;3;4;1;1;3;5;13;14;13;0,458636398
MS;M;18;R;GT3;T;1;3;at_home;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;no;no;3;3;4;2;4;3;0;8;10;9;0,280271105
MS;F;16;U;LE3;T;4;4;services;services;other;father;2;1;0;no;yes;no;no;yes;yes;no;no;5;1;3;1;2;5;1;11;11;11;0,037166942
MS;F;18;U;GT3;T;3;3;services;services;other;mother;2;2;0;no;yes;no;no;yes;yes;yes;yes;4;3;2;1;3;3;6;13;12;13;0,574706118
GP;F;16;R;GT3;T;3;3;services;other;reputation;father;1;3;0;yes;yes;no;yes;yes;yes;yes;no;4;1;2;1;1;2;4;11;11;11;0,628125109
GP;M;17;R;GT3;T;2;2;other;other;course;father;2;2;0;no;yes;no;yes;yes;yes;yes;no;4;5;2;1;1;1;0;12;13;13;0,686445221
GP;M;18;U;GT3;T;4;4;teacher;services;home;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;3;2;4;1;4;3;6;11;12;12;0,881041607
GP;F;19;U;GT3;T;1;1;other;other;course;other;3;3;0;no;no;no;yes;yes;no;no;yes;1;5;5;4;3;5;12;10;10;11;0,076186178
GP;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;5;2;1;1;5;0;13;14;15;0,536464744
GP;F;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;0;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5;2;13;11;11;0,12767645
GP;M;18;U;GT3;T;1;2;at_home;other;home;other;2;1;0;no;no;no;no;no;no;yes;no;3;4;4;2;4;4;10;10;10;11;0,004527979
GP;F;18;U;GT3;T;2;2;at_home;services;home;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;3;3;1;1;3;0;11;12;13;0,492706626
MS;F;16;U;GT3;T;3;3;other;other;reputation;mother;1;1;0;no;no;no;yes;yes;no;yes;yes;4;5;4;1;1;4;0;14;13;13;0,90698606
GP;F;17;R;GT3;T;2;1;at_home;services;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;4;2;5;1;2;5;0;11;10;11;0,450627355
GP;F;17;U;GT3;T;2;4;services;services;reputation;father;1;2;0;no;yes;no;yes;yes;yes;no;no;5;4;2;2;3;5;0;17;18;17;0,389240834
GP;F;15;U;GT3;A;4;3;services;services;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;3;2;1;1;1;0;15;14;15;0,746524674
GP;M;16;U;GT3;T;2;2;other;other;course;father;1;2;0;no;no;no;no;yes;no;yes;no;4;3;5;2;4;4;0;9;10;11;0,849736795
MS;M;19;U;GT3;T;1;1;other;other;other;mother;1;2;2;no;yes;no;yes;yes;no;yes;no;4;4;3;3;4;4;2;9;9;10;0,398622644
GP;F;16;U;GT3;A;3;4;services;other;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;1;1;4;5;12;15;13;14;0,943143403
GP;F;18;U;LE3;T;1;1;other;at_home;home;mother;1;3;0;no;yes;no;no;no;yes;no;no;4;4;3;2;3;3;4;11;12;14;0,279831286
GP;F;15;U;GT3;T;4;4;teacher;health;reputation;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;3;3;3;1;2;2;2;14;14;14;0,703155336
MS;F;16;R;LE3;T;1;2;other;other;reputation;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;5;4;5;1;4;2;0;14;14;15;0,263119457
GP;F;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1;4;12;13;13;0,283192081
GP;F;16;U;GT3;T;1;1;at_home;other;home;mother;2;1;0;no;yes;no;no;yes;yes;no;no;4;3;2;1;4;5;2;12;13;13;0,666770771
GP;M;15;R;GT3;T;3;4;at_home;teacher;course;mother;4;2;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5;2;12;11;11;0,524705501
GP;M;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;4;2;1;1;5;4;10;9;10;0,716813263
GP;M;16;U;GT3;T;3;2;at_home;other;reputation;mother;2;3;0;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;3;2;0;12;12;12;0,315632908
MS;M;18;U;LE3;T;1;1;other;services;home;father;2;1;0;no;no;no;no;no;yes;yes;yes;3;3;2;1;2;3;2;14;13;14;0,52137155
GP;M;15;U;LE3;T;2;2;services;health;reputation;mother;1;4;0;no;yes;no;yes;yes;yes;yes;no;4;3;4;1;1;4;2;11;12;12;0,120398469
GP;M;16;U;LE3;T;2;2;other;other;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;2;4;5;2;10;10;10;0,969995321
MS;M;18;U;LE3;T;4;4;at_home;health;home;mother;1;4;0;no;yes;no;yes;yes;no;yes;yes;5;5;5;5;5;5;2;5;6;6;0,960811268
MS;M;16;R;LE3;A;4;4;at_home;other;home;mother;1;2;0;no;yes;no;no;yes;yes;no;no;5;3;2;1;3;2;5;10;11;11;0,232718528
MS;F;19;U;GT3;T;1;1;at_home;services;course;mother;1;3;1;no;no;no;yes;yes;no;no;yes;5;3;1;1;1;3;6;7;9;9;0,349864472
GP;M;17;U;GT3;T;4;4;services;teacher;home;mother;1;1;0;no;no;no;no;yes;yes;yes;no;5;2;3;1;2;5;4;13;13;14;0,687069023
GP;F;18;U;GT3;T;3;3;at_home;other;course;father;1;2;0;no;yes;no;no;yes;yes;yes;no;4;1;4;1;1;3;8;11;12;14;0,482597301
MS;F;18;U;GT3;T;3;3;services;services;course;father;1;2;0;no;yes;no;no;yes;yes;no;yes;5;3;4;1;1;5;0;10;10;10;0,690285403
MS;F;17;U;GT3;T;4;2;teacher;other;course;father;2;4;0;no;no;no;no;yes;yes;yes;yes;4;2;3;3;1;5;0;18;18;18;0,614242137
GP;M;19;R;GT3;T;3;2;at_home;services;home;other;1;1;0;no;yes;no;no;no;yes;no;yes;5;3;4;2;2;5;0;11;10;10;0,844500161
MS;F;15;R;LE3;T;1;1;other;services;course;mother;2;1;1;no;yes;no;no;yes;yes;yes;yes;4;4;3;1;2;2;4;6;7;8;0,54241168
GP;F;16;U;LE3;T;2;2;services;services;course;mother;3;2;0;no;yes;no;no;yes;yes;yes;no;4;3;3;2;3;4;0;14;13;13;0,610720586
GP;F;20;R;GT3;T;1;1;other;other;reputation;other;2;3;0;no;no;no;no;yes;yes;yes;yes;3;2;2;1;3;3;8;11;15;15;0,534463675
GP;F;16;U;GT3;A;3;1;services;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;3;2;2;4;2;11;11;12;0,644075995
GP;M;17;R;GT3;T;3;2;other;other;course;mother;2;2;2;yes;yes;no;no;yes;yes;yes;yes;4;4;4;1;4;3;4;7;6;8;0,372156203
MS;F;18;U;GT3;T;1;2;at_home;at_home;course;father;2;2;0;no;yes;no;no;yes;no;no;no;4;1;1;1;1;4;0;11;11;12;0,958611345
MS;M;16;R;GT3;T;1;1;at_home;other;other;father;2;1;0;no;no;no;yes;yes;yes;no;no;3;4;4;3;4;5;6;11;11;11;0,236959177
GP;F;15;U;LE3;A;3;4;other;other;home;mother;1;2;0;yes;no;no;yes;yes;yes;yes;yes;5;3;2;1;1;1;0;10;11;11;0,355790962
MS;F;16;U;GT3;T;2;2;other;services;course;father;1;1;1;no;yes;yes;yes;no;yes;yes;no;4;4;3;1;4;3;1;9;10;10;0,610516165
GP;F;19;U;LE3;A;2;3;at_home;other;home;other;2;1;1;no;no;no;no;yes;no;yes;no;2;2;3;3;4;5;16;10;11;11;0,316097788
MS;M;18;R;LE3;T;3;2;services;other;course;mother;3;1;0;no;no;no;no;no;yes;yes;no;4;4;1;3;4;5;4;10;11;11;0,162954313
GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5;14;10;11;11;0,510859633
GP;M;15;U;LE3;T;1;2;other;other;course;mother;2;1;0;no;no;no;yes;yes;yes;no;no;4;4;4;2;4;5;2;8;9;10;0,563673111
GP;F;17;U;GT3;A;3;3;health;other;reputation;mother;1;2;0;no;yes;no;no;no;yes;yes;yes;3;3;3;1;3;3;10;12;13;14;0,945583254
GP;F;17;U;LE3;T;4;3;health;other;reputation;father;1;2;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;0;14;12;12;0,759719034
GP;F;15;U;GT3;T;1;2;at_home;services;course;mother;1;2;0;no;no;no;no;no;yes;yes;no;3;2;3;1;2;1;0;14;14;14;0,570445605
GP;F;18;U;GT3;T;2;1;other;other;reputation;mother;2;2;0;no;no;no;yes;yes;yes;yes;yes;4;3;1;1;1;5;10;12;13;14;0,248295521
MS;F;18;U;GT3;T;3;3;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;yes;4;1;3;1;2;1;1;16;16;16;0,117584596
GP;M;18;U;LE3;A;3;4;other;other;reputation;other;1;2;0;no;no;no;yes;yes;yes;yes;yes;4;3;5;1;4;2;9;13;14;15;0,970631256
GP;F;17;U;GT3;T;4;4;health;health;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;5;3;4;1;2;5;2;14;15;17;0,613836179
MS;M;17;U;GT3;T;3;4;services;other;other;mother;1;2;1;no;yes;no;yes;no;yes;yes;yes;5;4;4;3;4;5;8;8;9;8;0,464460539
MS;M;18;U;LE3;T;4;4;teacher;services;other;mother;2;3;0;no;no;no;no;yes;yes;yes;yes;4;2;2;2;2;5;0;15;16;16;0,134742241
MS;F;16;R;GT3;T;4;4;health;teacher;reputation;father;1;2;0;no;no;no;yes;no;yes;yes;yes;4;3;3;2;3;2;0;14;16;16;0,988723249
GP;M;16;U;GT3;T;1;2;services;services;other;mother;1;1;0;no;yes;no;yes;yes;yes;yes;yes;3;3;3;1;2;3;0;10;9;11;0,230266307
GP;F;15;U;GT3;T;4;4;services;teacher;other;father;1;2;0;yes;yes;no;yes;no;yes;yes;no;4;4;4;1;1;3;2;13;12;12;0,400741555
MS;F;17;R;GT3;T;3;2;at_home;other;course;father;1;2;1;no;no;no;no;yes;yes;no;yes;4;5;4;1;2;5;0;10;10;10;0,436319834
GP;M;17;U;GT3;T;4;4;teacher;teacher;reputation;mother;1;2;0;yes;yes;no;yes;yes;yes;yes;yes;4;5;5;1;3;2;0;13;13;13;0,370974169
MS;F;18;U;LE3;T;3;1;teacher;services;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;4;1;1;1;4;15;15;16;0,008453872
GP;F;17;U;GT3;T;2;2;at_home;at_home;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;1;4;0;12;12;13;0,755412897
GP;M;18;U;LE3;T;4;4;teacher;teacher;home;mother;1;1;0;no;yes;no;no;yes;yes;yes;yes;1;4;2;2;2;1;0;18;18;17;0,600663219
GP;F;17;U;GT3;T;3;4;at_home;services;home;mother;1;3;1;no;yes;yes;no;yes;yes;yes;yes;4;4;3;3;4;5;14;8;9;8;0,254224551
MS;F;16;R;GT3;T;1;1;at_home;other;other;father;4;3;0;yes;yes;no;no;yes;yes;no;no;4;4;3;1;1;5;2;10;9;10;0,252802025
MS;M;16;R;LE3;T;1;2;other;at_home;course;mother;1;1;0;no;no;no;no;yes;yes;no;no;4;4;4;2;4;5;4;9;10;11;0,612247615
GP;F;17;U;GT3;T;2;2;other;services;reputation;father;3;3;0;no;yes;no;no;yes;yes;yes;yes;4;2;3;1;1;1;8;13;15;15;0,857213888
GP;F;16;U;LE3;T;2;4;other;health;course;father;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;2;2;1;2;5;2;14;12;13;0,649395087
GP;M;16;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;3;5;5;2;5;4;8;14;14;15;0,660709912
